Company,UDIDs
Paradox Engineering SA,0x080F
TATTCOM LLC,0x080E
Azbil Co.,0x080D
Ingy B.V.,0x080C
Nanoleaf Canada Limited,0x080B
Altaneos,0x080A
Trulli Audio,0x0809
"SISTEMAS KERN, SOCIEDAD ANÃ“MINA",0x0808
ECD Electronic Components GmbH Dresden,0x0807
TYRI Sweden AB,0x0806
Urbanminded Ltd,0x0805
"Andon Health Co.,Ltd",0x0804
Domintell s.a.,0x0803
"NantSound, Inc.",0x0802
CRONUS ELECTRONICS LTD,0x0801
Optek,0x0800
maxon motor ltd.,0x07FF
BIROTA,0x07FE
"JSK CO., LTD.",0x07FD
Renault SA,0x07FC
"Access Co., Ltd",0x07FB
"Klipsch Group, Inc.",0x07FA
"Direct Communication Solutions, Inc.",0x07F9
quip NYC Inc.,0x07F8
Cesar Systems Ltd.,0x07F7
"Shenzhen TonliScience and Technology Development Co.,Ltd",0x07F6
Byton North America Corporation,0x07F5
MEDIRLAB Orvosbiologiai Fejleszto Korlatolt Felelossegu Tarsasag,0x07F4
DIGISINE ENERGYTECH CO. LTD.,0x07F3
"SERENE GROUP, INC",0x07F2
Zimi Innovations Pty Ltd,0x07F1
e-moola.com Pty Ltd,0x07F0
Aktiebolaget Sandvik Coromant,0x07EF
KidzTek LLC,0x07EE
"Joule IQ, INC.",0x07ED
Frecce LLC,0x07EC
NOVABASE S.R.L.,0x07EB
"ShapeLog, Inc.",0x07EA
HÃ¤fele GmbH & Co KG,0x07E9
"Packetcraft, Inc.",0x07E8
"Komfort IQ, Inc.",0x07E7
Waybeyond Limited,0x07E6
"Minut, Inc.",0x07E5
Geeksme S.L.,0x07E4
Airoha Technology Corp.,0x07E3
Alfred Kaercher SE & Co. KG,0x07E2
Edifier International Limited,0x07E0
Snap-on Incorporated,0x07DF
Unlimited Engineering SL,0x07DE
Linear Circuits,0x07DD
ThingOS GmbH & Co KG,0x07DC
Remedee Labs,0x07DB
"STARLITE Co., Ltd.",0x07DA
"Micro-Design, Inc.",0x07D9
SOLUTIONS AMBRA INC.,0x07D8
"Nanjing Qinheng Microelectronics Co., Ltd",0x07D7
ecobee Inc.,0x07D6
hoots classic GmbH,0x07D5
Kano Computing Limited,0x07D4
"LIVNEX Co.,Ltd.",0x07D3
React Accessibility Limited,0x07D2
"Shanghai Panchip Microelectronics Co., Ltd",0x07D1
"Hangzhou Tuya Information  Technology Co., Ltd",0x07D0
"NeoSensory, Inc.",0x07CF
"Shanghai Top-Chip Microelectronics Tech. Co., LTD",0x07CE
Smart Wave Technologies Canada Inc,0x07CD
Barnacle Systems Inc.,0x07CC
"West Pharmaceutical Services, Inc.",0x07CB
"Skullcandy, Inc.",0x07C9
WRLDS Creations AB,0x07C8
iaconicDesign Inc.,0x07C7
Bluenetics GmbH,0x07C6
"June Life, Inc.",0x07C5
Johnson Health Tech NA,0x07C4
"CIMTechniques, Inc.",0x07C3
Radinn AB,0x07C2
Biral AG,0x07C0
REGULA Ltd.,0x07BF
Axentia Technologies AB,0x07BE
Genedrive Diagnostics Ltd,0x07BD
EPIC S.R.L.,0x07BB
Battery-Biz Inc.,0x07BA
iSwip,0x07B8
ETABLISSEMENTS GEORGES RENAULT,0x07B7
Soundbrenner Limited,0x07B6
"CRONO CHIP, S.L.",0x07B5
Hormann KG Antriebstechnik,0x07B4
2N TELEKOMUNIKACE a.s.,0x07B3
Moeco IOT Inc.,0x07B2
"Thomas Dynamics, LLC",0x07B1
GV Concepts Inc.,0x07B0
Hong Kong Bouffalo Lab Limited,0x07AF
Aurea Solucoes Tecnologicas Ltda.,0x07AE
"New H3C Technologies Co.,Ltd",0x07AD
LoupeDeck Oy,0x07AC
"Granite River Solutions, Inc.",0x07AB
The Kroger Co.,0x07AA
Bruel & Kjaer Sound & Vibration,0x07A9
conbee GmbH,0x07A8
"Zume, Inc.",0x07A7
"Musen Connect, Inc.",0x07A6
"RAB Lighting, Inc.",0x07A5
"Xiamen Mage Information Technology Co., Ltd.",0x07A4
"Roku, Inc.",0x07A2
Regent Beleuchtungskorper AG,0x07A0
Pune Scientific LLP,0x079F
Smartloxx GmbH,0x079E
Digibale Pty Ltd,0x079D
Sky UK Limited,0x079C
CST ELECTRONICS (PROPRIETARY) LIMITED,0x079B
"GuangDong Oppo Mobile Telecommunications Corp., Ltd.",0x079A
PlantChoir Inc.,0x0799
"HoloKit, Inc.",0x0798
Water-i.d. GmbH,0x0797
StarLeaf Ltd,0x0796
GASTEC CORPORATION,0x0795
The Coca-Cola Company,0x0794
AEV spol. s r.o.,0x0793
"Cricut, Inc.",0x0792
"Scosche Industries, Inc.",0x0791
KOMPAN A/S,0x0790
"Hanna Instruments, Inc.",0x078F
"FUJIMIC NIIGATA, INC.",0x078E
Cybex GmbH,0x078D
MINIBREW HOLDING B.V,0x078C
Optikam Tech Inc.,0x078B
The Wildflower Foundation,0x078A
"PCB Piezotronics, Inc.",0x0789
"BubblyNet, LLC",0x0788
HLP Controls Pty Limited,0x0786
"O2 Micro, Inc.",0x0785
audifon GmbH & Co. KG,0x0784
ESEMBER LIMITED LIABILITY COMPANY,0x0783
DeviceDrive AS,0x0782
"Qingping Technology (Beijing) Co., Ltd.",0x0781
Finch Technologies Ltd.,0x0780
Glenview Software Corporation,0x077F
Sparkage Inc.,0x077E
"Sensority, s.r.o.",0x077D
"radius co., ltd.",0x077C
Niruha Systems Private Limited,0x077A
Loopshore Oy,0x0779
KOAMTAC INC.,0x0778
Cue,0x0777
Cyber Transport Control GmbH,0x0776
4eBusiness GmbH,0x0775
C-MAX Asia Limited,0x0774
Thirdwayv Inc.,0x0772
Corvex Connected Safety,0x0771
InnoCon Medical ApS,0x0770
Successful Endeavours Pty Ltd,0x076F
"WuQi technologies, Inc.",0x076E
Graesslin GmbH,0x076D
Noodle Technology inc,0x076C
Engineered Medical Technologies,0x076B
"Dmac Mobile Developments, LLC",0x076A
Force Impact Technologies,0x0769
Peloton Interactive Inc.,0x0768
NITTO DENKO ASIA TECHNICAL CENTRE PTE. LTD.,0x0767
"ART AND PROGRAM, INC.",0x0766
Voxx International,0x0765
WWZN Information Technology Company Limited,0x0764
PIKOLIN S.L.,0x0763
TerOpta Ltd,0x0762
Mantis Tech LLC,0x0761
Vimar SpA,0x0760
"Remote Solution Co., LTD.",0x075F
Katerra Inc.,0x075E
"RHOMBUS SYSTEMS, INC.",0x075D
Antitronics Inc.,0x075C
Smart Sensor Devices AB,0x075B
"HARMAN CO.,LTD.",0x075A
"Shanghai InGeek Cyber Security Co., Ltd.",0x0759
umanSense AB,0x0758
ELA Innovation,0x0757
"Lumens For Less, Inc",0x0756
"Brother Industries, Ltd",0x0755
Michael Parkin,0x0754
"JLG Industries, Inc.",0x0753
Elatec GmbH,0x0752
"Changsha JEMO IC Design Co.,Ltd",0x0751
Hamilton Professional Services of Canada Incorporated,0x0750
MEDIATECH S.R.L.,0x074F
EAGLE DETECTION SA,0x074E
"Amtech Systems, LLC",0x074D
Sarvavid Software Solutions LLP,0x074B
Illusory Studios LLC,0x074A
"DIAODIAO (Beijing) Technology Co., Ltd.",0x0749
GuangZhou KuGou Computer Technology Co.Ltd,0x0748
OR Technologies Pty Ltd,0x0747
Seitec Elektronik GmbH,0x0746
"WIZNOVA, Inc.",0x0745
SOCOMEC,0x0744
Sanofi,0x0743
DML LLC,0x0742
MAC SRL,0x0741
"Beijing Unisoc Technologies Co., Ltd.",0x073F
Bluepack S.R.L.,0x073E
"Beijing Hao Heng Tian Tech Co., Ltd.",0x073D
Fantini Cosmi s.p.a.,0x073B
Chandler Systems Inc.,0x073A
"Jiangsu Qinheng Co., Ltd.",0x0739
Glass Security Pte Ltd,0x0738
LLC Navitek,0x0737
"Luna XIO, Inc.",0x0736
UpRight Technologies LTD,0x0735
DiUS Computing Pty Ltd,0x0734
"Iguanavation, Inc.",0x0733
"Dairy Tech, LLC",0x0732
ABLIC Inc.,0x0731
"Wildlife Acoustics, Inc.",0x0730
"OnePlus Electronics (Shenzhen) Co., Ltd.",0x072F
Open Platform Systems LLC,0x072E
Safera Oy,0x072D
GWA Hygiene GmbH,0x072C
Bitkey Inc.,0x072B
JMR embedded systems GmbH,0x072A
SwaraLink Technologies,0x0729
Eli Lilly and Company,0x0728
PHC Corporation,0x0726
Tedee Sp. z o.o.,0x0725
"Guangzhou SuperSound Information Technology Co.,Ltd",0x0724
Ford Motor Company,0x0723
Xiamen Eholder Electronics Co.Ltd,0x0722
"Clover Network, Inc.",0x0721
"Oculeve, Inc.",0x0720
Dongguan Liesheng Electronic Co.Ltd,0x071F
"DONGGUAN HELE ELECTRONICS CO., LTD",0x071E
exoTIC Systems,0x071D
"F5 Sports, Inc",0x071C
Precor,0x071B
REVSMART WEARABLE HK CO LTD,0x071A
COREIOT PTY LTD,0x0719
IDIBAIX enginneering,0x0718
Altonics,0x0716
MBARC LABS Inc,0x0715
MindPeace Safety LLC,0x0714
Respiri Limited,0x0713
Bull Group Company Limited,0x0712
ABAX AS,0x0711
Audiodo AB,0x0710
California Things Inc.,0x070F
FiveCo Sarl,0x070E
SmartSnugg Pty Ltd,0x070D
"Beijing Winner Microelectronics Co.,Ltd",0x070C
"Element Products, Inc.",0x070B
Huf HÃ¼lsbeck & FÃ¼rst GmbH & Co. KG,0x070A
Carewear Corp.,0x0709
"Be Interactive Co., Ltd",0x0708
Essity Hygiene and Health Aktiebolag,0x0707
Wernher von Braun Center for ASdvanced Research,0x0706
AB Electrolux,0x0705
JBX Designs Inc.,0x0704
"Beijing Jingdong Century Trading Co., Ltd.",0x0703
"Akciju sabiedriba ""SAF TEHNIKA""",0x0702
PAFERS TECH,0x0701
TraqFreq LLC,0x0700
Redpine Signals Inc,0x06FF
Mahr GmbH,0x06FE
ESS Embedded System Solutions Inc.,0x06FD
"Tom Communication Industrial Co.,Ltd.",0x06FC
Sartorius AG,0x06FB
Enequi AB,0x06FA
happybrush GmbH,0x06F9
"BodyPlus Technology Co.,Ltd",0x06F8
WILKA Schliesstechnik GmbH,0x06F7
Vitulo Plus BV,0x06F6
Vigil Technologies Inc.,0x06F5
TouchÃ© Technology Ltd,0x06F4
Alfred International Inc.,0x06F3
Trapper Data AB,0x06F2
"Shibutani Co., Ltd.",0x06F1
"Chargy Technologies, SL",0x06F0
"ALCARE Co., Ltd.",0x06EF
J Neades Ltd,0x06ED
Houston Radar LLC,0x06EB
SafeLine Sweden AB,0x06EA
"Zmartfun Electronics, Inc.",0x06E9
Almendo Technologies GmbH,0x06E8
VELUX A/S,0x06E7
NIHON DENGYO KOUSAKU,0x06E6
"OPTEX CO.,LTD.",0x06E5
Aluna,0x06E4
Spinlock Ltd,0x06E3
Alango Technologies Ltd,0x06E2
Milestone AV Technologies LLC,0x06E1
Avaya Inc.,0x06E0
HLI Solutions Inc.,0x06DF
"Navcast, Inc.",0x06DE
Intellithings Ltd.,0x06DD
"Industrial Network Controls, LLC",0x06DC
"Automatic Labs, Inc.",0x06DB
Zliide Technologies ApS,0x06DA
"Shanghai Mountain View Silicon Co.,Ltd.",0x06D9
AW Company,0x06D8
FUBA Automotive Electronics GmbH,0x06D7
JCT Healthcare Pty Ltd,0x06D6
Sensirion AG,0x06D5
CeoTronics AG,0x06D2
"Meyer Sound Laboratories, Incorporated",0x06D1
Etekcity Corporation,0x06D0
FIOR & GENTZ,0x06CE
DIG Corporation,0x06CD
"Dongguan SmartAction Technology Co.,Ltd.",0x06CC
"Dyeware, LLC",0x06CB
"Shenzhen Zhongguang Infotech Technology Development Co., Ltd",0x06CA
MYLAPS B.V.,0x06C9
Storz & Bickel GmbH & Co. KG,0x06C8
Simm Tronic Limited,0x06C6
"Urban Compass, Inc",0x06C5
Dream Labs GmbH,0x06C4
"King I Electronics.Co.,Ltd",0x06C3
Measurlogic Inc.,0x06C2
"Alarm.com Holdings, Inc",0x06C1
CAME S.p.A.,0x06C0
HitSeed Oy,0x06BE
ABB Oy,0x06BD
TWS Srl,0x06BC
Leaftronix Analogic Solutions Private Limited,0x06BB
Beaconzone Ltd,0x06BA
Beflex Inc.,0x06B9
"ShadeCraft, Inc",0x06B8
iCOGNIZE GmbH,0x06B7
"Sociometric Solutions, Inc.",0x06B6
Wabilogic Ltd.,0x06B5
Sencilion Oy,0x06B4
Tussock Innovation 2013 Limited,0x06B2
"SimpliSafe, Inc.",0x06B1
"BRK Brands, Inc.",0x06B0
Shoof Technologies,0x06AF
SenseQ Inc.,0x06AE
InnovaSea Systems Inc.,0x06AD
"Ingchips Technology Co., Ltd.",0x06AC
HMS Industrial Networks AB,0x06AB
Produal Oy,0x06AA
Soundmax Electronics Limited,0x06A9
"GD Midea Air-Conditioning Equipment Co., Ltd.",0x06A8
Chipsea Technologies (ShenZhen) Corp.,0x06A7
Roambee Corporation,0x06A6
TEKZITEL PTY LTD,0x06A5
LIMNO Co. Ltd.,0x06A4
"Nymbus, LLC",0x06A3
Globalworx GmbH,0x06A2
"Cardo Systems, Ltd",0x06A1
OBIQ Location Technology Inc.,0x06A0
FlowMotion Technologies AS,0x069F
"Delta Electronics, Inc.",0x069E
Noomi AB,0x069C
Dragonchip Limited,0x069B
"Adero, Inc.",0x069A
RandomLab SAS,0x0699
"Wood IT Security, LLC",0x0698
Stemco Products Inc,0x0697
Gunakar Private Limited,0x0696
"Koki Holdings Co., Ltd.",0x0695
T&A Laboratories LLC,0x0694
Hach - Danaher,0x0693
Georg Fischer AG,0x0692
Curie Point AB,0x0691
"Eccrine Systems, Inc.",0x0690
JRM Group Limited,0x068F
Razer Inc.,0x068E
"Jiangsu Teranovo Tech Co., Ltd.",0x068B
Raytac Corporation,0x068A
Tacx b.v.,0x0689
Amsted Digital Solutions Inc.,0x0688
Cherry GmbH,0x0687
"inQs Co., Ltd.",0x0686
Greenwald Industries,0x0685
"Dermalapps, LLC",0x0684
Eltako GmbH,0x0683
Photron Limited,0x0682
Trade FIDES a.s.,0x0681
Mannkind Corporation,0x0680
"NETGRID S.N.C. DI BISSOLI MATTEO, CAMPOREALE SIMONE, TOGNETTI FEDERICO",0x067F
Form Athletica Inc.,0x067D
"Tile, Inc.",0x067C
"I.FARM, INC.",0x067B
"The Energy Conservatory, Inc.",0x067A
4iiii Innovations Inc.,0x0679
SABIK Offshore GmbH,0x0678
"Innovation First, Inc.",0x0677
Expai Solutions Private Limited,0x0676
BeSpoon,0x0674
Innova Ideas Limited,0x0673
Kopi,0x0672
Buzz Products Ltd.,0x0671
Gema Switzerland GmbH,0x0670
Hug Technology Ltd,0x066F
Eurotronik Kranj d.o.o.,0x066E
Venso EcoSolutions AB,0x066D
Ztove ApS,0x066C
DewertOkin GmbH,0x066B
Brady Worldwide Inc.,0x066A
"Livanova USA, Inc.",0x0669
Bleb Technology srl,0x0668
Spark Technology Labs Inc.,0x0667
WTO Werkzeug-Einrichtungen GmbH,0x0666
Pure International Limited,0x0665
RHA TECHNOLOGIES LTD,0x0664
"Advanced Telemetry Systems, Inc.",0x0663
"Particle Industries, Inc.",0x0662
Mode Lighting Limited,0x0661
"RTC Industries, Inc.",0x0660
Ricoh Company Ltd,0x065F
Alo AB,0x065E
Panduit Corp.,0x065D
PixArt Imaging Inc.,0x065C
Sesam Solutions BV,0x065B
Marshall Group AB,0x065A
UnSeen Technologies Oy,0x0659
Payex Norge AS,0x0658
Meshtronix Limited,0x0657
ZhuHai AdvanPro Technology Company Limited,0x0656
Renishaw PLC,0x0655
Ledlenser GmbH & Co. KG,0x0654
Meggitt SA,0x0653
ITZ Innovations- und Technologiezentrum GmbH,0x0652
"Stasis Labs, Inc.",0x0651
"Coravin, Inc.",0x0650
Digital Matter Pty Ltd,0x064F
KRUXWorks Technologies Private Limited,0x064E
iLOQ Oy,0x064D
Zumtobel Group AG,0x064C
"Scale-Tec, Ltd",0x064B
"Open Research Institute, Inc.",0x064A
"Ryeex Technology Co.,Ltd.",0x0649
Ultune Technologies,0x0648
MED-EL,0x0647
SGV Group Holding GmbH & Co. KG,0x0646
BM3,0x0645
Apogee Instruments,0x0644
makita corporation,0x0643
"Bluetrum Technology Co.,Ltd",0x0642
Revenue Collection Systems FRANCE SAS,0x0641
Dish Network LLC,0x0640
LDL TECHNOLOGY,0x063F
"The Indoor Lab, LLC",0x063E
"Xradio Technology Co.,Ltd.",0x063D
"Contec Medical Systems Co., Ltd.",0x063C
Kromek Group Plc,0x063B
Prolojik Limited,0x063A
"Shenzhen Minew Technologies Co., Ltd.",0x0639
LX SOLUTIONS PTY LIMITED,0x0638
GiP Innovation Tools GmbH,0x0637
ELECTRONICA INTEGRAL DE SONIDO S.A.,0x0636
Crookwood,0x0635
Fanstel Corp,0x0634
Wangi Lai PLT,0x0633
Hugo Muller GmbH & Co KG,0x0632
Fortiori Design LLC,0x0631
Asthrea D.O.O.,0x0630
ONKYO Corporation,0x062F
Procept,0x062E
Vossloh-Schwabe Deutschland GmbH,0x062D
ASPion GmbH,0x062C
MinebeaMitsumi Inc.,0x062B
PHONEPE PVT LTD,0x0629
Ensto Oy,0x0628
WEG S.A.,0x0627
Amplifico,0x0626
"Square Panda, Inc.",0x0625
Biovotion AG,0x0624
"Beam Labs, LLC",0x0622
Noordung d.o.o.,0x0621
Forciot Oy,0x0620
Phrame Inc.,0x061F
"Diamond Kinetics, Inc.",0x061E
SENS Innovation ApS,0x061D
Univations Limited,0x061C
"silex technology, inc.",0x061B
R.W. Beckett Corporation,0x061A
"Six Guys Labs, s.r.o.",0x0619
Audio-Technica Corporation,0x0618
OS42 UG (haftungsbeschraenkt),0x0616
INTER ACTION Corporation,0x0615
"OnAsset Intelligence, Inc.",0x0614
Hans Dinslage GmbH,0x0613
Playfinity AS,0x0612
Beurer GmbH,0x0611
ADH GUARDIAN USA LLC,0x0610
Signify Netherlands B.V.,0x060F
Blueair AB,0x060E
TDK Corporation,0x060D
Vuzix Corporation,0x060C
Triax Technologies Inc,0x060B
IQAir AG,0x060A
BUCHI Labortechnik AG,0x0609
KeySafe-Cloud,0x0608
Rookery Technology Ltd,0x0607
John Deere,0x0606
FMW electronic Futterer u. Maier-Wolf OHG,0x0605
Fourth Evolution Inc,0x0603
Geberit International AG,0x0602
Schrader Electronics,0x0601
iRobot Corporation,0x0600
Wellnomics Ltd,0x05FF
Niko nv,0x05FE
Innoseis,0x05FD
Masbando GmbH,0x05FC
Arblet Inc.,0x05FB
"Konami Sports Life Co., Ltd.",0x05FA
Hagleitner Hygiene International GmbH,0x05F9
Anki Inc.,0x05F8
"TRACMO, INC.",0x05F7
DPTechnics,0x05F6
GS TAG,0x05F5
"Clearity, LLC",0x05F4
SeeScan,0x05F3
"Try and E CO.,LTD.",0x05F2
The Linux Foundation,0x05F1
beken,0x05F0
SIKOM AS,0x05EF
"Fuji Xerox Co., Ltd",0x05ED
Gycom Svenska AB,0x05EC
Bayerische Motoren Werke AG,0x05EB
ACS-Control-System GmbH,0x05EA
iconmobile GmbH,0x05E9
COWBOY,0x05E8
PressurePro,0x05E7
Motion Instruments Inc.,0x05E6
INEO ENERGY& SYSTEMS,0x05E5
"Taiyo Yuden Co., Ltd",0x05E4
"Elemental Machines, Inc.",0x05E3
stAPPtronics GmbH,0x05E2
"Human, Incorporated",0x05E1
Viper Design LLC,0x05E0
VIRTUALCLINIC.DIRECT LIMITED,0x05DF
QT Medical INC.,0x05DE
essentim GmbH,0x05DD
Petronics Inc.,0x05DC
"Avid Identification Systems, Inc.",0x05DB
Applied Neural Research Corp,0x05DA
Toyo Electronics Corporation,0x05D9
Farm Jenny LLC,0x05D8
modum.io AG,0x05D7
"Zhuhai Jieli technology Co.,Ltd",0x05D6
"TEGAM, Inc.",0x05D5
"LAMPLIGHT Co., Ltd.",0x05D4
Acurable Limited,0x05D3
frogblue TECHNOLOGY GmbH,0x05D2
Lindab AB,0x05D1
Anova Applied Electronics,0x05D0
Biowatch SA,0x05CF
V-ZUG Ltd,0x05CE
RJ Brands LLC,0x05CD
WATTS ELECTRONICS,0x05CC
LucentWear LLC,0x05CB
MHL Custom Inc,0x05CA
TBS Electronics B.V.,0x05C9
SOMFY SAS,0x05C8
"Lippert Components, INC",0x05C7
SELVE GmbH & Co. KG,0x05C5
Codecoup sp. z o.o. sp. k.,0x05C4
"Runtime, Inc.",0x05C3
Grote Industries,0x05C2
P.I.Engineering,0x05C1
"Nalu Medical, Inc.",0x05C0
Real-World-Systems Corporation,0x05BF
ULC Robotics Inc.,0x05BD
"Leviton Mfg. Co., Inc.",0x05BC
Oxford Metrics plc,0x05BB
igloohome,0x05BA
Suzhou Pairlink Network Technology,0x05B9
Ambystoma Labs Inc.,0x05B8
"Beijing Pinecone Electronics Co.,Ltd.",0x05B7
"Elecs Industry Co.,Ltd.",0x05B6
verisilicon,0x05B5
White Horse Scientific ltd,0x05B4
"Parabit Systems, Inc.",0x05B3
CAREL INDUSTRIES S.P.A.,0x05B2
Medallion Instrumentation Systems,0x05B1
NewTec GmbH,0x05B0
"OV LOOP, INC.",0x05AF
"CARMATE MFG.CO.,LTD",0x05AE
INIA,0x05AD
"GoerTek Dynaudio Co., Ltd.",0x05AC
Nofence AS,0x05AB
Tramex Limited,0x05AA
Monidor,0x05A9
Tom Allebrandi Consulting,0x05A8
Sonos Inc,0x05A7
Telecon Mobile Limited,0x05A6
Kiiroo BV,0x05A5
"O. E. M. Controls, Inc.",0x05A4
Axiomware Systems Incorporated,0x05A3
ADHERIUM(NZ) LIMITED,0x05A2
"Shanghai Xiaoyi Technology Co.,Ltd.",0x05A1
Dream Devices Technologies Oy,0x05A0
Fisher & Paykel Healthcare,0x059F
"Polycom, Inc.",0x059E
Tandem Diabetes Care,0x059D
Macrogiga Electronics,0x059C
Dataflow Systems Limited,0x059B
"Teledyne Lecroy, Inc.",0x059A
"Lazlo326, LLC.",0x0599
rapitag GmbH,0x0598
RadioPulse Inc,0x0597
My Smart Blinds,0x0596
Inor Process AB,0x0595
Kohler Company,0x0594
Spaulding Clinical Research,0x0593
IZITHERM,0x0592
Viasat Group S.p.A.,0x0591
Pur3 Ltd,0x0590
HENDON SEMICONDUCTORS PTY LTD,0x058F
"Meta Platforms Technologies, LLC",0x058E
Jungheinrich Aktiengesellschaft,0x058D
Fracarro Radioindustrie SRL,0x058C
Maxim Integrated Products,0x058B
"START TODAY CO.,LTD.",0x058A
Star Technologies,0x0589
ALT-TEKNIK LLC,0x0588
Derichs GmbH,0x0587
LEGRAND,0x0586
Hearing Lab Technology,0x0585
Gira Giersiepen GmbH & Co. KG,0x0584
Code Blue Communications,0x0583
"Breakwall Analytics, LLC",0x0582
LYS TECHNOLOGIES LTD,0x0581
"Scuf Gaming International, LLC",0x057F
"Beco, Inc",0x057E
Instinct Performance,0x057D
Toor Technologies LLC,0x057C
Duracell U.S. Operations Inc.,0x057B
OMNI Remotes,0x057A
Wellington Drive Technologies Ltd,0x0578
"True Wearables, Inc.",0x0577
"Globalstar, Inc.",0x0576
Integral Memroy Plc,0x0575
AFFORDABLE ELECTRONICS INC,0x0574
Lighting Science Group Corp.,0x0573
AntTail.com,0x0572
"PSIKICK, INC.",0x0571
Consumer Sleep Solutions LLC,0x0570
BikeFinder AS,0x056F
VIZPIN INC.,0x056E
Redmond Industrial Group LLC,0x056D
"Long Range Systems, LLC",0x056C
"Rion Co., Ltd.",0x056B
"Flipnavi Co.,Ltd.",0x056A
Bodyport Inc.,0x0568
"Xiamen Everesports Goods Co., Ltd",0x0567
CORE TRANSPORT TECHNOLOGIES NZ LIMITED,0x0566
Beghelli Spa,0x0564
Steinel GmbH,0x0563
Thalmic Labs Inc.,0x0562
Finder S.p.A.,0x0561
Sarita CareTech APS,0x0560
PROTECH S.A.S. DI GIRARDI ANDREA & C.,0x055F
Hekatron Vertriebs GmbH,0x055E
Valve Corporation,0x055D
Lely,0x055C
FRANKLIN TECHNOLOGY INC,0x055B
"CANDY HOUSE, Inc.",0x055A
Newcon Optik,0x0559
"benegear, inc.",0x0558
Arwin Technology Limited,0x0557
Otodynamics Ltd,0x0556
KROHNE Messtechnik GmbH,0x0555
National Instruments,0x0554
"Nintendo Co., Ltd.",0x0553
Avempace SARL,0x0552
Sylero,0x0551
Sinnoz,0x054F
FORTRONIK storitve d.o.o.,0x054E
Sensome,0x054D
Carefree Scott Fetzer Co Inc,0x054C
"Advanced Electronic Designs, Inc.",0x054B
Linough Inc.,0x054A
Smart Technologies and Investment Limited,0x0549
Knick Elektronische Messgeraete GmbH & Co. KG,0x0548
LOGICDATA Electronic & Software Entwicklungs GmbH,0x0547
Apexar Technologies S.A.,0x0546
"OrthoSensor, Inc.",0x0544
"MIWA LOCK CO.,Ltd",0x0543
"Mist Systems, Inc.",0x0542
Sharknet srl,0x0541
"SilverPlus, Inc",0x0540
Silergy Corp,0x053F
CLIM8 LIMITED,0x053E
TESA SA,0x053D
Screenovate Technologies Ltd,0x053C
prodigy,0x053B
"Savitech Corp.,",0x053A
"OPPLE Lighting Co., Ltd",0x0539
Medela AG,0x0538
MetaLogics Corporation,0x0537
ZTR Control Systems LLC,0x0536
Smart Component Technologies Limited,0x0535
"Frontiergadget, Inc.",0x0534
Nura Operations Pty Ltd,0x0533
"CRESCO Wireless, Inc.",0x0532
D&M Holdings Inc.,0x0531
"Adolene, Inc.",0x0530
Center ID Corp.,0x052F
LEDVANCE GmbH,0x052E
"EXFO, Inc.",0x052D
Geosatis SA,0x052C
Novartis AG,0x052B
Keynes Controls Ltd,0x052A
Lumen UAB,0x0529
Lunera Lighting Inc.,0x0528
Albrecht JUNG,0x0527
Honeywell International Inc.,0x0526
"HONGKONG NANO IC TECHNOLOGIES  CO., LIMITED",0x0525
"Hangzhou iMagic Technology Co., Ltd",0x0524
"MTG Co., Ltd.",0x0523
"NS Tech, Inc.",0x0522
IAI Corporation,0x0521
Target Corporation,0x0520
Setec Pty Ltd,0x051F
Detect Blue Limited,0x051E
"OFF Line Co., Ltd.",0x051D
EDPS,0x051C
Leica Camera AG,0x051A
Tyto Life LLC,0x0519
MAMORIO.inc,0x0518
Amtronic Sverige AB,0x0517
Footmarks,0x0516
"RB Controls Co., Ltd.",0x0515
FIBRO GmbH,0x0514
9974091 Canada Inc.,0x0513
Soprod SA,0x0512
Brookfield Equinox LLC,0x0511
"UNI-ELECTRONICS, INC.",0x0510
Foundation Engineering LLC,0x050F
"Yichip Microelectronics (Hangzhou) Co.,Ltd.",0x050E
TRSystems GmbH,0x050D
OSRAM GmbH,0x050C
Vibrissa Inc.,0x050B
Shake-on B.V.,0x050A
"Garage Smart, Inc.",0x0509
Axes System sp. z o. o.,0x0508
Yellowcog,0x0507
Hager,0x0506
"InPlay, Inc.",0x0505
PHYPLUS Inc,0x0504
"Locoroll, Inc",0x0503
Specifi-Kali LLC,0x0502
Polaris IND,0x0501
Wiliot LTD.,0x0500
Microsemi Corporation,0x04FF
Woosim Systems Inc.,0x04FE
Tapkey GmbH,0x04FD
SwingLync L. L. C.,0x04FC
Benchmark Drives GmbH & Co. KG,0x04FB
Androtec GmbH,0x04FA
Interactio,0x04F9
Convergence Systems Limited,0x04F8
"Shenzhen Goodix Technology Co., Ltd",0x04F7
McLear Limited,0x04F6
Pirelli Tyre S.P.A.,0x04F5
ZanCompute Inc.,0x04F4
Cerevast Medical,0x04F3
InDreamer Techsol Private Limited,0x04F2
Theben AG,0x04F1
Kosi Limited,0x04F0
"DaisyWorks, Inc",0x04EF
Auxivia,0x04EE
Motorola Solutions,0x04EC
Bird Home Automation GmbH,0x04EB
"Pacific Bioscience Laboratories, Inc",0x04EA
Busch Jaeger Elektro GmbH,0x04E9
STABILO International,0x04E8
"Smart Solution Technology, Inc.",0x04E6
Avack Oy,0x04E5
Woodenshark,0x04E4
Under Armour,0x04E3
REACTEC LIMITED,0x04E1
"Guardtec, Inc.",0x04E0
Emerson Electric Co.,0x04DF
